Model,R2,MAE,MSE,MaxER,RMSE,MCVS,StdDS
model_lr,0.8871067817435684,0.055714313,0.0050472273,0.18398744,0.07104384,0.9324610113586479,0.038683871166982145
model_knr,0.8084780883002151,0.07226677,0.0085625565,0.25808534,0.09253408,0.8687808682027715,0.05196443439631318
model_rfr,0.8895579836156208,0.05695421679876745,0.004937638875916339,0.18298641324043274,0.317546314922365,0.9068407638109832,0.05443977739203719
model_svr,0.8439706755021184,0.06694843837451261,0.006975755094350784,0.23044178658305114,0.29207059693924187,0.8322792904556774,0.05917804225874935
model_mlpr,0.7763111925189312,0.08213228,0.010000673,0.25439185,0.2688264,0.8003972358992797,0.13670605250531545
