Model,R2,MAE,MSE,MaxER,RMSE,MCVS,StdDS
model_lr,0.08101880758761348,0.1769576,0.04774313,0.54501814,0.21850201,0.9641449080625473,0.011321067500546607
model_knr,0.10273115382972331,0.17516322,0.046615127,0.6227121,0.21590537,-0.3294953001778137,0.23032693190051923
model_rfr,0.4147894515829639,0.13720319189052096,0.030402998876844577,0.5566216369532049,0.27332738894525827,0.17164121755571377,0.19665892933595924
model_svr,0.47925621589788203,0.13891970120808547,0.027053806063485505,0.5421917643533749,0.3183514509637859,0.5425903838286172,0.14217115380785342
model_mlpr,-0.24124480060078346,0.21005343,0.06448545,0.5745266,0.24656722,-0.2761212193210999,0.32643831312734767
